Country_and_Time_Period,Migration Change,% Expenditure on healthcare,Infrastructure as % of GDP,Taxing Wages,Infant Mortality,Change in Unemployment,GDP Growth,Life Expectancy
Ireland 2009,-0.434782609,9.2413,0.8,8.71,3.8,5.499140109,-6.370677442,80.1902439
Ireland 2010,-0.528599606,8.5068,0.8,10.6,3.3,1.88137375,-0.27550501,80.74390244
Ireland 2011,0.410041841,7.9637,0.6,12.32,3.6,0.64488795,2.772706339,80.74634146
Ireland 2012,-0.047477745,8.0964,0.5,12.47,3.5,0.8046447,-0.313052822,80.89512195
Ireland 2013,0.201492537,7.2734,0.4,13.99,3.5,-0.69131839,0.173617084,81.04390244
Israel 2001,-0.277869138,7.2911,1.3,22.81,5.5,0.336664301,0.110755049,79.40731707
Israel 2002,-0.227796563,7.2221,1.6,23.32,5.1,0.960152812,3.167600162,79.77682927
Israel 2003,-0.306732201,7.1741,1.9,20.77,5.4,0.57988027,4.186548532,79.59207317
Israel 2004,-0.102006617,7.1026,1.7,20.31,4.9,0.03413638,5.053095387,80.14634146
Israel 2005,0.013589167,7.1898,0.8,19.58,4.6,-1.660758106,4.338950048,80.15121951
Israel 2006,-0.090355474,6.9881,0.8,17.89,4.4,-0.35212908,5.780081345,80.55365854
Israel 2007,-0.059058592,6.9646,0.8,18.33,4,-1.072630211,6.267268433,80.50487805
Israel 2008,-0.24433291,7.0058,0.9,16.8,3.9,-1.504365021,3.500651279,80.95121951
Israel 2009,0.063717977,7.054,1,15.45,3.8,1.532565504,1.904217427,81.40487805
Israel 2010,0.14127899,7.0036,0.7,14.9,3.8,-0.800000556,5.750532184,81.60243902
Israel 2011,0.015571454,7.0465,0.7,13.51,3.7,-1.13213627,4.190876897,81.65609756
Israel 2012,-0.019772673,7.3657,0.7,13.03,3.5,0.059726038,2.995789893,81.70487805
Israel 2013,0.019308221,7.4691,0.7,13.16,3.6,-0.620344654,3.248291635,82.05609756
Italy 2001,-0.102416427,7.7657,0.7,40.5,4.3,-0.914932589,1.77280302,80.12682927
Italy 2002,-0.063192853,7.8897,0.8,39.19,4.4,-0.132272523,1.43523118,80.45365854
Italy 2003,1.623960868,7.852,1,38.24,4.1,-0.319122905,1.322707233,80.2902439
Italy 2004,-0.070847534,8.1841,1.1,38.58,3.9,-0.739532975,1.583269711,80.7804878
Italy 2005,-0.283658766,8.3574,1.3,38.26,3.9,-0.067165949,0.949620808,80.78292683
Italy 2006,-0.099695877,8.4558,1.5,39.14,3.8,-0.813094044,2.006401731,81.28292683
Italy 2007,1.023665687,8.159,1.3,37.84,3.6,-0.749465039,1.474124078,81.43414634
